1, AMBON ,76505,6,88275,3,102988
2, ATAMBUA ,107965,7,124575,6,
3, BALIGE ,52195,7,60225,4,
4, BALIKPAPAN ,60775,4,70125,2,81813
5, BANDA ACEH ,57915,4,66825,2,77963
6, BANDUNG ,11550,3,12705,2,19058
7, BANGKO ,41828,6,48263,4,
8, BANJARBARU ,50765,5,58575,3,
9, BANJARMASIN ,50050,4,58575,2,67375
10, BANYUWANGI ,26565,6,30030,4,58616
11, BARABAI ,52910,6,61050,4,
12, BATAM ,48620,4,56100,2,65450
13, BATURAJA ,54340,6,62700,4,
14, BAU-BAU ,85800,6,99000,4,
15, BEKASI ,8800,3,9900,2,17710
16, BENGKULU ,32890,4,37950,2,44275
17, BIAK ,117975,6,136125,4,
18, BIMA ,55770,6,64350,4,
19, BIREUN ,72215,6,83325,4,
20, BITUNG ,97955,7,113025,6,
21, BLITAR ,26565,6,30030,3,
22, BOGOR ,8800,3,9900,2,17710
23, BOJONEGORO ,21945,6,25410,3,
24, BONTANG ,67210,6,77550,4,
25, BOYOLALI ,21945,6,25410,5,
26, BUKITTINGGI ,46475,5,53625,3,
27, BULUKUMBA ,73645,6,84975,4,
28, BUMI SERPONG DAMAI ,8800,3,9900,2,17710
29, BUOL ,95095,6,109725,5,
30, CEPU ,26565,6,31185,4,
31, CIBINONG ,8800,3,9900,2,17710
32, CILACAP ,17325,6,19635,3,
33, CILEGON ,12705,3,17050,2,25300
34, CIREBON ,11550,3,12705,2,
35, DAAN MOGOT ,8800,3,9900,2,17710
36, DEMAK ,21945,6,25410,5,
37, DENPASAR ,37180,3,42900,2,50050
38, DUKUH BAWAH ,8800,3,9900,2,17710
39, DUMAI ,49049,6,56595,4,
40, ENDE ,110825,6,127875,4,
41, FATMAWATI ,8800,3,9900,2,17710
42, GAMBIR ,8800,3,9900,2,17710
43, GARUT ,15015,5,17325,3,
44, GORONTALO ,77935,5,89925,3,104913
45, GRAHA PANGERAN SURABAYA ,19635,3,21945,2,44468
46, GRESIK ,21945,6,25410,3,
47, GUNUNG SITOLI ,63635,6,73425,4,
48, HARMONI ,8800,3,9900,2,17710
49, INDRAMAYU ,15400,3,22550,2,
50, JABABEKA ,8800,3,9900,2,18810
51, JAKARTA ,8800,3,9900,2,17710
52, JAKARTA KOTA ,8800,3,9900,2,17710
53, JAKARTA PUSAT ,8800,3,9900,2,17710
54, JAMBI ,38610,4,44550,2,51975
55, JATINEGARA ,8800,3,9900,2,17710
56, JAYAPURA ,118690,6,136950,3,159775
57, JEMBER ,21945,6,25410,4,
58, JEPARA ,21945,6,25410,4,
59, JOMBANG ,26565,6,30030,4,
60, JPK BANDUNG ,11550,3,12705,2,19058
61, KABANJAHE ,50765,6,58575,4,
62, KALABAHI ,109395,9,126225,7,
63, KARANGAYU ,18480,4,20790,2,39920
64, KARAWANG ,14300,3,16500,2,
65, KAYU AGUNG ,40755,6,47025,5,
66, KEBUMEN ,24255,6,27720,4,
